datetime,url,message
2020-04-13 17:17:00,https://bit.ly/dsnmlhack, Win 20GB data and more at DSN Algorithm Challenge.  Prove your understanding of Machine Learning Algorithms by building a Logistic Regression Algorithm from scratch using Python or R.    Click the link to register for the  #DSNAlgorithmChallenge and for more details.   https://bit.ly/dsnmlhack
2020-05-02 07:09:00,https://www.mindsetnuggets.com/aws-machine-learning-scholarship-apply-today/, AWS Machine Learning Scholarship - Apply Today https://www.mindsetnuggets.com/aws-machine-learning-scholarship-apply-today/
2020-05-05 13:17:00,https://heartbeat.fritz.ai/deploying-machine-learning-models-on-google-cloud-platform-gcp-7b1ff8140144, Hi guys I just published an article on how to deploy a basic machine learning model on Google cloud platform. *Here is the link* :  https://heartbeat.fritz.ai/deploying-machine-learning-models-on-google-cloud-platform-gcp-7b1ff8140144
2020-05-06 21:49:00,https://youtu.be/_Z9TRANg4c0," Looking to start with Machine Learning? Lawrence Moroney just started a new series ""Machine Learning Foundations"" on Youtube. Perfect for beginners and requires little to no Math skills. Link: https://youtu.be/_Z9TRANg4c0"
2020-05-08 18:41:00,https://medium.com/@arimoroolayinka/weekly-paper-review-svm-other-machine-learning-classification-algorithms-9fb1708fbd12, Hello guys. I just wrote an article. My weekly review of the paper I read this week.   “Weekly Paper Review: SVM & Other Machine Learning Classification Algorithms” by Arimoro Olayinka https://medium.com/@arimoroolayinka/weekly-paper-review-svm-other-machine-learning-classification-algorithms-9fb1708fbd12
2020-05-14 20:49:00,https://lnkd.in/gqW8xXf, Alibaba Cloud offers FREE big data certificate training and exam during Ramadan period. Join the training and upgrade your skill-sets in the areas of machine learning Analytics and Big Data.   Click the link below to reserve your spot. https://lnkd.in/gqW8xXf
2020-05-19 18:59:00,https://t.co/TlMMUhu3fO., Enrollment in the Udacity + @awscloud Machine Learning Scholarship Program is now open!  Apply now & get access to the AWS Machine Learning Foundations Course. Win a scholarship to Udacity’s Machine Learning Engineer Nanodegree program. Learn more https://t.co/TlMMUhu3fO.
2020-06-14 17:17:00,https://www.udacity.com/scholarships/machine-learning-scholarship-microsoft-azure, https://www.udacity.com/scholarships/machine-learning-scholarship-microsoft-azure  Apply for the Machine Learning Scholarship Program for the Machine Learning Nanodegree with Microsoft Azure on Udacity.
2020-06-21 13:10:00,https://leaps.analyttica.com/home?auth_modal=true&register=true&referral=ymXcz3," I just got this info from my colleagues in India. *ATH Leaps analyttica* is offering courses on data science for *FREE*.  They're offering courses ranging from introductory data analytics, Machine learning algorithms e.g Linear and logistic regression,  Time series analysis, statistics for data science, etc.  All for *Free!!!* ,and what's more exciting? It comes with a *verified certificate* and also Hands-on exercises which you can include as your experience in the field of datascience.   Here's the link to register : https://leaps.analyttica.com/home?auth_modal=true&register=true&referral=ymXcz3"
2020-06-25 14:13:00,https://bit.ly/prebootcamp2020," *DSN Artificial Intelligence Bootcamp 2020 is here! – 5 days 5 streams 70-days pre-learning*  You cannot afford to miss the 2020 edition of the annual #AIBootcamp2020, where the best of the best learn from world-class experts in an all-expense-paid session.   The journey to be one of the 250 candidates starts July 1st with a structured 70-day learning cycle in machine learning and deep learning. This will be followed by Kaggle qualification and Quiz to select the bootcamp finalists.  The 70-day class is complemented with daily/weekly Google Classroom/Slack engagement for AI+ members.   *Timelines*: •	July 1- September 8:  70-day Daily/Weekly Online learning  •	September 9 - October 3 :  Kaggle competition for final selection •	October 5-9: Validation Quiz •	October 10: Publication of qualified candidates  •	October 20-24: 2020 AI Bootcamp  *Read* for details and register at https://bit.ly/prebootcamp2020"
2020-07-08 12:39:00,https://pytorch.org/deep-learning-with-pytorch," https://pytorch.org/deep-learning-with-pytorch    PyTorch is giving out it deep learning with PyTorch for free.  Deep Learning with PyTorch provides a detailed, hands-on introduction to building and training neural networks with PyTorch, a popular open source machine learning framework. This full book includes:  Introduction to deep learning and the PyTorch library Pre-trained networks Tensors The mechanics of learning Using a neural network to fit data Using convolutions to generalize Real-world examples: Building a neural network designed for cancer detection Deploying to production Get a free copy for a limited ti"
